sweep,input_dim,latent_dim,hidden_layers,compression_ratio,mse,n_params,macs,energy_est_nJ,latency_ms
dimension,32,16,2,2.0,0.0005129938945174217,3378,3240,14.903999999999998,0.14519999996991828
dimension,32,8,2,4.0,0.002852511592209339,2114,2008,9.236799999999999,0.16555950001929887
dimension,32,4,2,8.0,0.008065776899456978,1428,1344,6.1823999999999995,0.13609150002594106
dimension,32,2,2,16.0,0.011873148381710052,1052,982,4.5172,0.15012849995400757
dimension,32,1,2,32.0,0.014239729382097721,765,706,3.2476,0.13683600001968443
dimension,64,32,2,2.0,0.0001169238385045901,13446,13168,60.572799999999994,0.1740875000541564
dimension,64,16,2,4.0,0.00012416516256053,8130,7920,36.432,0.1489469999796711
dimension,64,8,2,8.0,0.003385549411177635,5544,5376,24.729599999999998,0.14094149999436922
dimension,64,4,2,16.0,0.009051484055817127,3918,3780,17.388,0.15150050006923266
dimension,64,2,2,32.0,0.012895719148218632,2942,2824,12.9904,0.15375350005342625
dimension,128,64,2,2.0,0.00012529955711215734,53562,53004,243.8184,0.1661154998873826
dimension,128,32,2,4.0,0.00013703292643185705,32686,32262,148.40519999999998,0.15238749998388812
dimension,128,16,2,8.0,0.00012482888996601105,21840,21504,98.91839999999999,0.16797449992736802
dimension,128,8,2,16.0,0.003714320482686162,15694,15416,70.91359999999999,0.1517319999402389
dimension,128,4,2,32.0,0.009166219271719456,11622,11384,52.36639999999999,0.16264799996861257
dimension,256,128,2,2.0,0.00013277695688884705,211630,210518,968.3828,0.17038749996572733
dimension,256,64,2,4.0,0.00012205939128762111,129178,128332,590.3272,0.17474349995609373
dimension,256,32,2,8.0,0.00013142127136234194,86688,86016,395.67359999999996,0.17289050010731444
dimension,256,16,2,16.0,0.00013927315012551844,62220,61664,283.65439999999995,0.15970499996910803
dimension,256,8,2,32.0,0.004963998217135668,46398,45922,211.2412,0.15593399992212653
dimension,512,256,2,2.0,0.0001554270857013762,845622,843396,3879.6215999999995,0.22502249994431622
dimension,512,128,2,4.0,0.0001600279356352985,515550,513858,2363.7468,0.21529499994358048
dimension,512,64,2,8.0,0.00012968122609890997,345408,344064,1582.6943999999999,0.1959859998896718
dimension,512,32,2,16.0,0.00012818415416404605,247054,245942,1131.3332,0.16982800007099286
dimension,512,16,2,32.0,0.0001416402665199712,183870,182918,841.4227999999999,0.20802150000235997
dimension,1024,512,2,2.0,0.00013872396084479988,3378726,3374274,15521.660399999999,0.5206075000751298
dimension,1024,256,2,4.0,0.00012552007683552802,2055954,2052572,9441.831199999999,0.3886455000611022
dimension,1024,128,2,8.0,0.000134614048874937,1378944,1376256,6330.777599999999,0.2840794999792706
dimension,1024,64,2,16.0,0.00014273938722908497,985050,982828,4521.0088,0.24008249994949438
dimension,1024,32,2,32.0,0.0001321787858614698,735830,733924,3376.0504,0.2705924998736009
depth_linear,256,32,0,8.0,0.00010808570368681103,16672,16384,75.3664,0.05403600007412024
depth_linear,256,32,1,8.0,0.00011773376900237054,52886,52416,241.11359999999996,0.12941099994350225
depth_linear,256,32,2,8.0,0.00012199041520943865,86688,86016,395.67359999999996,0.12905349998618476
depth_linear,256,32,3,8.0,0.00012372354103717953,119654,118772,546.3512,0.1687110000057146
depth_linear,256,32,4,8.0,0.00013299040438141674,151956,150862,693.9652,0.21511350001674145
depth_nonlinear,256,32,0,8.0,0.00018278298375662416,16672,16384,75.3664,0.05129350000061095
depth_nonlinear,256,32,1,8.0,0.00019425673235673457,52886,52416,241.11359999999996,0.1038449999759905
depth_nonlinear,256,32,2,8.0,0.00022779365826863796,86688,86016,395.67359999999996,0.14179449994117022
depth_nonlinear,256,32,3,8.0,0.00021238368935883045,119654,118772,546.3512,0.19367050001164898
depth_nonlinear,256,32,4,8.0,0.00034911284456029534,151956,150862,693.9652,0.21944150008494034
