sweep,input_dim,latent_dim,encoder_hidden_layers,decoder_hidden_layers,compression_ratio,mse,n_params,macs,encoder_macs,decoder_macs,energy_est_nJ,latency_ms
dimension,32,16,2,2,2.0,0.0005129939527250826,3378,3240,1620,1620,14.903999999999998,0.19855672999710805
dimension,32,8,2,2,4.0,0.002852511592209339,2114,2008,1004,1004,9.236799999999999,0.18285962999925687
dimension,32,4,2,2,8.0,0.008065776899456978,1428,1344,672,672,6.1823999999999995,0.16977675500129408
dimension,32,2,2,2,16.0,0.011873148381710052,1052,982,491,491,4.5172,0.23347995000222
dimension,32,1,2,2,32.0,0.014239729382097721,765,706,353,353,3.2476,0.22974556500230392
dimension,64,32,2,2,2.0,0.00011694496788550168,13446,13168,6584,6584,60.572799999999994,0.24803619499834895
dimension,64,16,2,2,4.0,0.00012427497131284326,8130,7920,3960,3960,36.432,0.5403621049981666
dimension,64,8,2,2,8.0,0.003385556163266301,5544,5376,2688,2688,24.729599999999998,0.3689207949992124
dimension,64,4,2,2,16.0,0.009051484987139702,3918,3780,1890,1890,17.388,0.2793128850044013
dimension,64,2,2,2,32.0,0.012895721010863781,2942,2824,1412,1412,12.9904,0.3081655000005412
dimension,128,64,2,2,2.0,0.00012713945761788636,53562,53004,26502,26502,243.8184,0.26610488000187615
dimension,128,32,2,2,4.0,0.00012958826846443117,32686,32262,16131,16131,148.40519999999998,0.29564529999788647
dimension,128,16,2,2,8.0,0.00011312265996821225,21840,21504,10752,10752,98.91839999999999,0.37925351499779936
dimension,128,8,2,2,16.0,0.0037340540438890457,15694,15416,7708,7708,70.91359999999999,0.29032639999968524
dimension,128,4,2,2,32.0,0.009176946245133877,11622,11384,5692,5692,52.36639999999999,0.6475411649989837
dimension,256,128,2,2,2.0,0.00013569252041634172,211630,210518,105259,105259,968.3828,0.3127089449981213
dimension,256,64,2,2,4.0,0.00013574953482020646,129178,128332,64166,64166,590.3272,0.2663596050024353
dimension,256,32,2,2,8.0,0.00014719351020175964,86688,86016,43008,43008,395.67359999999996,0.315202605002014
dimension,256,16,2,2,16.0,0.00013756238331552595,62220,61664,30832,30832,283.65439999999995,0.26782433500102343
dimension,256,8,2,2,32.0,0.00495570944622159,46398,45922,22961,22961,211.2412,0.2586953399986669
dimension,512,256,2,2,2.0,0.0001441324857296422,845622,843396,421698,421698,3879.6215999999995,0.41969102500388544
dimension,512,128,2,2,4.0,0.0001355291751679033,515550,513858,256929,256929,2363.7468,0.5208764250028253
dimension,512,64,2,2,8.0,0.00012154915020801127,345408,344064,172032,172032,1582.6943999999999,0.38677211000049283
dimension,512,32,2,2,16.0,0.00012769902241416276,247054,245942,122971,122971,1131.3332,0.29687022999951296
dimension,512,16,2,2,32.0,0.00015327814617194235,183870,182918,91459,91459,841.4227999999999,0.3133606350002083
dimension,1024,512,2,2,2.0,0.00012311704631429166,3378726,3374274,1687137,1687137,15521.660399999999,1.0958516250002504
dimension,1024,256,2,2,4.0,0.00012638872431125492,2055954,2052572,1026286,1026286,9441.831199999999,0.7744470999978148
dimension,1024,128,2,2,8.0,0.00013358810974750668,1378944,1376256,688128,688128,6330.777599999999,0.5552122100016277
dimension,1024,64,2,2,16.0,0.00013962655793875456,985050,982828,491414,491414,4521.0088,0.4829858349967253
dimension,1024,32,2,2,32.0,0.00015374520444311202,735830,733924,366962,366962,3376.0504,0.3452999950013691
depth_linear,256,32,0,0,8.0,0.00010901051427936181,16672,16384,8192,8192,75.3664,0.16024920499603468
depth_linear,256,32,1,1,8.0,0.00011832937889266759,52886,52416,26208,26208,241.11359999999996,0.18066591000206245
depth_linear,256,32,2,2,8.0,0.00011769607226597145,86688,86016,43008,43008,395.67359999999996,0.2623959449965696
depth_linear,256,32,3,3,8.0,0.00012635184975806624,119654,118772,59386,59386,546.3512,0.318589990001783
depth_linear,256,32,4,4,8.0,0.0001284485188079998,151956,150862,75431,75431,693.9652,0.4306420199964123
depth_nonlinear,256,32,0,0,8.0,0.00018281284428667277,16672,16384,8192,8192,75.3664,0.25771381499907875
depth_nonlinear,256,32,1,1,8.0,0.00019976570911239833,52886,52416,26208,26208,241.11359999999996,0.2809359850016335
depth_nonlinear,256,32,2,2,8.0,0.0002194419503211975,86688,86016,43008,43008,395.67359999999996,0.2722947550000754
depth_nonlinear,256,32,3,3,8.0,0.00022549033747054636,119654,118772,59386,59386,546.3512,0.3404351349990975
depth_nonlinear,256,32,4,4,8.0,0.0003057252033613622,151956,150862,75431,75431,693.9652,0.3111210650013163
asym_linear,256,32,1,1,8.0,0.00011367726256139576,52886,52416,26208,26208,241.11359999999996,0.18668517000151041
asym_linear,256,32,3,3,8.0,0.00011492096382426098,119654,118772,59386,59386,546.3512,0.3634360249998281
asym_linear,256,32,1,3,8.0,0.00010725863103289157,86270,85594,26208,59386,393.7324,0.26387299000361963
asym_linear,256,32,3,1,8.0,0.00011920183169422671,86270,85594,59386,26208,393.7324,0.2607149049981672
asym_nonlinear,256,32,1,1,8.0,0.00022082505165599287,52886,52416,26208,26208,241.11359999999996,0.19530112000211375
asym_nonlinear,256,32,3,3,8.0,0.0002230603276984766,119654,118772,59386,59386,546.3512,0.2648404399997162
asym_nonlinear,256,32,1,3,8.0,0.00021614125580526888,86270,85594,26208,59386,393.7324,0.2672039900016898
asym_nonlinear,256,32,3,1,8.0,0.00022221529798116535,86270,85594,59386,26208,393.7324,0.2557339150007465
